name,GW,total_points,minutes,goals_scored,assists,bonus,bps,clean_sheets,creativity,influence,threat,ict_index,form,value,was_home,yellow_cards,red_cards,upcoming_total_points,position_FWD,position_GK,position_MID,team_x_Aston Villa,team_x_Bournemouth,team_x_Brentford,team_x_Brighton,team_x_Burnley,team_x_Chelsea,team_x_Crystal Palace,team_x_Everton,team_x_Fulham,team_x_Leeds,team_x_Leicester,team_x_Liverpool,team_x_Man City,team_x_Man Utd,team_x_Newcastle,team_x_Norwich,team_x_Nott'm Forest,team_x_Sheffield Utd,team_x_Southampton,team_x_Spurs,team_x_Watford,team_x_West Brom,team_x_West Ham,team_x_Wolves
Aaron Connolly,23,2,61,0,0,0,3,0,1.6,0.0,15.0,1.5,0.1,52,0,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,24,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.1,52,1,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,25,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.075,52,1,0,0,2.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,26,2,60,0,0,0,3,0,0.4,1.0,39.0,4.0,0.1,52,0,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05,52,1,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,28,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05,52,0,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,29,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.05,52,1,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,30,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52,0,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,31,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52,1,0,0,0.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aaron Connolly,32,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,52,0,0,0,1.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
